1.00E+00,5.00E+00
2.00E+00,5.00E+00
3.00E+00,3.29E-01
4.00E+00,3.30E-01
5.00E+00,3.36E-01
6.00E+00,3.38E-01
7.00E+00,3.39E-01
8.00E+00,3.33E-01
9.00E+00,3.31E-01
1.00E+01,5.00E+00
1.10E+01,5.00E+00
1.20E+01,5.00E+00
1.30E+01,5.00E+00
1.40E+01,5.00E+00
1.50E+01,5.00E+00
1.60E+01,5.00E+00
1.70E+01,5.00E+00
1.80E+01,5.00E+00
1.90E+01,5.00E+00
2.00E+01,5.00E+00
2.10E+01,3.28E-01
2.20E+01,3.34E-01
2.30E+01,3.33E-01
2.40E+01,3.37E-01
2.50E+01,3.30E-01
2.60E+01,3.36E-01
2.70E+01,3.39E-01
2.80E+01,3.24E-01
2.90E+01,3.35E-01
3.00E+01,3.30E-01
3.10E+01,3.25E-01
3.20E+01,3.36E-01
3.30E+01,3.39E-01
3.40E+01,3.31E-01
3.50E+01,3.31E-01
3.60E+01,3.36E-01
3.70E+01,3.31E-01
3.80E+01,3.32E-01
3.90E+01,3.29E-01
4.00E+01,3.30E-01
4.10E+01,3.32E-01
4.20E+01,3.04E-01
4.30E+01,2.19E-01
4.40E+01,2.10E-01
4.50E+01,2.22E-01
4.60E+01,2.26E-01
4.70E+01,2.24E-01
4.80E+01,2.05E-01
4.90E+01,2.01E-01
5.00E+01,1.94E-01
5.10E+01,2.43E-01
5.20E+01,2.87E-01
5.30E+01,3.11E-01
5.40E+01,3.13E-01
5.50E+01,3.15E-01
5.60E+01,3.33E-01
5.70E+01,2.86E-01
5.80E+01,2.25E-01
5.90E+01,1.77E-01
6.00E+01,1.63E-01
6.10E+01,1.65E-01
6.20E+01,1.77E-01
6.30E+01,1.91E-01
6.40E+01,1.90E-01
6.50E+01,2.03E-01
6.60E+01,2.46E-01
6.70E+01,2.94E-01
6.80E+01,3.14E-01
6.90E+01,3.11E-01
7.00E+01,3.19E-01
7.10E+01,3.26E-01
7.20E+01,3.24E-01
7.30E+01,3.25E-01
7.40E+01,3.26E-01
7.50E+01,3.21E-01
7.60E+01,3.24E-01
7.70E+01,3.21E-01
7.80E+01,3.23E-01
7.90E+01,3.21E-01
8.00E+01,3.16E-01
8.10E+01,3.19E-01
8.20E+01,3.20E-01
8.30E+01,3.26E-01
8.40E+01,3.23E-01
8.50E+01,3.10E-01
8.60E+01,3.35E-01
8.70E+01,3.21E-01
8.80E+01,3.26E-01
8.90E+01,3.33E-01
9.00E+01,3.15E-01
9.10E+01,3.30E-01
9.20E+01,3.29E-01
9.30E+01,3.22E-01
9.40E+01,3.22E-01
9.50E+01,3.22E-01
9.60E+01,3.12E-01
9.70E+01,3.20E-01
9.80E+01,3.30E-01
9.90E+01,3.19E-01
1.00E+02,3.28E-01
